0   2000
5.93854   2.11536   3.99818
3.49608   0.32548   5.49031
3.86829   0.743188   5.40368
1.33578   1.33264   4.96542
0.273404   0.20338   1.19534
1.61119   2.23605   1.40166
1.44618   0.763026   1.07395
6.49859   2.67321   5.35761
1.45486   0.804317   3.67444
0.467344   0.238522   2.81754
0.926712   0.561919   1.32804
1.45259   2.10459   4.19507
4.23553   1.90259   4.99228
3.46965   2.74258   0.0710241
3.3191   2.94686   1.84415
1.19771   2.81109   3.33526
1.32254   1.37178   4.79532
5.96191   2.65717   2.9259
0.233087   1.43548   3.32745
5.74345   1.63344   0.389541
0.57225   0.98036   4.08965
0.844971   2.37667   2.68009
0.276688   1.62929   2.15639
2.23981   1.43738   1.0157
0.849702   0.351771   3.68855
6.8678   1.34257   0.493259
6.16176   2.92614   1.75125
0.949467   2.21647   1.23041
2.52409   0.704525   0.655571
8.69694   0.254613   2.76452
4.12244   1.79906   0.150757
7.99033   0.261979   2.73905
5.49458   2.66444   6.08873
1.55288   0.249084   0.80285
4.50076   0.906606   3.41221
2.41746   1.69974   4.96709
1.45689   0.204994   2.54838
1.14926   1.79652   2.53943
1.66071   2.30994   4.70772
6.24968   1.40754   3.01818
0.869441   0.517656   3.66121
3.28218   1.79147   3.61952
0.970867   2.80741   3.63824
8.51943   0.568081   1.37219
5.29889   1.2363   2.65182
9.75054   2.263   3.367
1.71662   2.7948   4.22005
0.433825   2.50192   5.94473
4.40151   2.34672   4.43443
5.46118   2.29135   3.75686
6.6062   0.303925   0.23225
4.41877   2.08629   2.14743
4.79256   2.95807   4.48118
0.590637   1.01628   3.52493
2.35039   1.40352   1.23457
4.48801   2.73888   3.00315
1.16809   0.276026   1.35201
1.92814   2.70513   3.25237
8.79919   2.85416   3.95838
1.32453   0.186825   4.67773
0.508706   0.517119   0.918532
0.808979   1.95926   3.98691
0.884907   0.308506   3.96432
0.585666   2.26345   2.64302
4.43422   2.43676   1.14825
4.08239   0.318448   0.0600749
5.44454   2.83384   3.56586
1.43555   0.194374   4.60825
9.56749   0.480385   0.695303
0.701663   2.70963   5.99742
3.47063   0.33529   5.87437
1.10083   0.487687   0.787074
0.296787   1.97173   3.68846
0.511911   2.86174   3.6824
5.49929   2.22191   0.868141
5.13144   0.353949   5.00372
0.641843   0.190266   5.31553
6.85078   1.24434   3.46279
1.22211   0.301748   4.90671
2.00385   2.78531   0.564751
9.0552   2.89813   4.68654
1.73737   2.78799   6.20793
7.19326   1.17347   4.44619
0.411311   0.226612   1.49028
4.11038   2.34969   4.11812
0.289403   0.26179   3.14723
3.38215   1.87285   0.196593
1.22986   0.323298   1.5043
3.87618   0.249463   1.02388
0.459281   1.12797   2.26385
0.305738   2.64683   0.490678
0.328693   0.846129   6.22311
1.33638   0.503384   4.48713
1.09034   0.249092   6.25236
2.7571   0.404148   1.00092
9.8223   2.34497   6.15144
0.815444   0.352294   5.86974
0.900289   0.404178   1.34297
6.0719   0.449293   4.38996
2.0795   0.66276   4.80384
2.74606   0.187991   5.84131
1.15034   1.3054   3.23835
1.94969   2.76951   4.58919
0.363046   0.870975   0.684433
6.80306   0.275308   0.440935
3.01447   0.255337   4.36583
9.71458   0.246395   4.12238
1.30367   0.55994   0.835639
1.61298   0.9383   3.30761
0.686167   2.85993   4.48499
1.59948   2.27459   3.06184
7.97973   0.242921   0.0567904
4.45637   0.756846   0.506917
0.560333   2.48209   3.60672
2.71883   0.682882   3.1319
2.73484   2.59477   3.40409
2.09505   2.54009   1.3377
6.76346   1.27191   1.59572
0.811905   0.285151   1.03247
4.99212   0.841624   1.96547
1.40863   0.277128   2.90588
1.1447   0.439222   5.30918
1.46089   0.206846   0.84735
3.39732   2.86642   3.58352
1.33266   2.61139   0.370462
0.590404   2.90831   4.15927
9.55161   1.22718   3.86329
8.75513   0.942165   0.102739
0.49699   2.93652   3.2672
3.04332   2.27596   4.13407
6.18001   0.231139   5.06637
0.405267   2.77154   6.14001
4.39946   0.605354   0.899683
7.70481   2.57236   1.69283
